"Date","Chevron.Corporation","Price"
2006-11-17,94,69.1
2007-03-02,88,66.79
2007-03-09,78,68.47
2007-03-16,78,68.08
2007-03-23,78,73.7
2007-03-30,78,73.96
2007-06-22,81,81.55
2007-06-29,66,84.24
2007-07-06,77,87.68
2007-07-13,87,93.33
2007-09-14,60,90.65
2007-09-21,60,94.84
2007-09-28,73,93.58
2007-10-05,87,92.32
2007-10-12,100,91.41
2007-10-19,61,89.27
2007-10-26,61,91.65
2007-11-02,54,88.48
2007-11-09,54,87.26
2007-11-16,54,85.98
2007-11-23,58,86.67
2007-11-30,62,87.77
2007-12-07,65,90.96
2007-12-14,69,92.02
2007-12-21,61,94.04
2007-12-28,61,94.86
2008-01-04,61,93.35
2008-01-11,61,90.67
2008-01-18,61,83.46
2008-01-25,50,81.82
2008-02-01,70,82.49
2008-02-08,52,79.26
2008-02-15,50,83.6
2008-02-22,60,85.42
2008-02-29,58,86.66
2008-03-07,58,85.26
2008-03-14,63,85.34
2008-03-28,73,84.5
2008-04-04,62,88.05
2008-04-11,58,88.8
2008-04-18,58,93.18
2008-04-25,58,92.69
2008-05-02,54,95.32
2008-05-09,58,97.39
2008-05-16,62,100.38
2008-05-23,52,100.73
2008-05-30,52,99.15
2008-06-06,59,99.5
2008-06-13,67,99.4
2008-06-20,48,96.62
2008-06-27,48,97.8
2008-07-11,48,92.25
2008-07-18,54,86.05
2008-07-25,59,82.56
2008-08-01,49,84.31
2008-08-08,49,84.4
2008-08-15,50,84.25
2008-08-22,46,88.1
2008-08-29,46,86.32
2008-09-05,49,80.22
2008-09-12,65,84.24
2008-09-19,60,87.8
2008-09-26,52,86.95
2008-10-03,56,79.38
2008-10-10,55,57.83
2008-10-17,54,62.35
2008-10-24,45,63.91
2008-10-31,62,74.6
2008-11-07,72,73.46
2008-11-14,68,72.68
2008-11-21,68,70.49
2008-11-28,65,79.01
2008-12-05,61,74.42
2008-12-12,61,79
2008-12-19,57,70.85
2008-12-26,59,70.35
2009-01-02,61,76.52
2009-01-09,63,72.82
2009-01-16,65,71.74
2009-01-23,37,70.82
2009-01-30,41,70.52
2009-02-06,44,74.9
2009-02-13,69,69.73
2009-02-20,41,65.07
2009-02-27,62,60.71
2009-03-06,54,58.27
2009-03-13,54,62.91
2009-03-20,51,64.71
2009-03-27,43,68.9
2009-04-03,43,70.48
2009-04-17,44,66.01
2009-04-24,39,66.6
2009-05-01,51,66.87
2009-05-08,42,70.38
2009-05-15,42,65.88
2009-05-22,67,64.44
2009-05-29,49,66.67
2009-06-05,38,69.37
2009-06-12,69,72.67
2009-06-19,58,68.06
2009-06-26,56,65.95
2009-07-10,56,61.4
2009-07-17,43,65.12
2009-07-24,43,68.43
2009-07-31,44,69.47
