"Date","HD","Price"
2004-02-06,6,36.33
2004-02-13,6,36.17
2004-02-20,6,35.7
2004-02-27,6,36.31
2004-03-05,6,37.45
2004-03-12,6,36.09
2004-03-19,6,36.68
2004-03-26,6,36.93
2004-04-02,6,36.68
2004-04-16,6,36.2
2004-04-23,6,36.49
2004-04-30,6,35.19
2004-05-07,6,33
2004-05-14,5,33.8
2004-05-21,6,34.47
2004-05-28,6,35.92
2004-06-04,6,35.33
2004-06-18,6,35.37
2004-06-25,6,35.25
2004-07-02,7,34.69
2004-07-09,7,34.37
2004-07-16,7,33.92
2004-07-23,7,33
2004-07-30,7,33.72
2004-08-06,7,32.9
2004-08-13,7,33.14
2004-08-20,7,36.36
2004-08-27,7,36.59
2004-09-03,7,37.48
2004-09-10,8,37.54
2004-09-17,7,38.31
2004-09-24,8,38.43
2004-10-01,8,39.25
2004-10-08,7,39.02
2004-10-15,7,39.81
2004-10-22,7,39.17
2004-10-29,8,41.08
2004-11-05,8,42.29
2004-11-12,8,43.22
2004-11-19,8,42.7
2004-11-26,8,43.37
2004-12-03,8,41.79
2004-12-10,8,42.64
2004-12-17,8,42.01
2004-12-31,10,42.74
2005-01-07,9,41.42
2005-01-14,9,41.9
2005-01-21,8,40.9
2005-01-28,8,40.41
2005-02-04,8,42.42
2005-02-11,8,42.81
2005-02-18,8,42.02
2005-02-25,7,40.58
2005-03-04,7,40.09
2005-03-11,8,39.42
2005-03-18,8,38.88
2005-04-01,8,37.6
2005-04-08,7,37.48
2005-04-15,7,36.11
2005-04-22,7,36.02
2005-04-29,7,35.37
2005-05-06,8,37.16
2005-05-13,7,36.29
2005-05-20,8,39.63
2005-05-27,8,39.97
2005-06-03,8,39.72
2005-06-10,7,39.5
2005-06-17,8,40.2
2005-06-24,7,38.24
2005-07-01,8,39.49
2005-07-08,7,40.08
2005-07-15,8,41.61
2005-07-22,8,43.47
2005-07-29,8,43.51
2005-08-05,8,40.95
2005-08-12,8,41.28
2005-08-19,8,40.37
2005-08-26,8,39.81
2005-09-02,8,40.33
2005-09-09,8,41.22
2005-09-16,8,39.9
2005-09-23,8,38.53
2005-09-30,9,38.14
2005-10-07,9,37.8
2005-10-14,9,38.41
2005-10-21,9,39.65
2005-10-28,9,40.52
2005-11-04,9,41.36
2005-11-11,9,41.91
2005-11-18,9,42.44
2005-11-25,10,42.42
2005-12-02,10,41.67
2005-12-09,10,41.02
2005-12-16,10,42.5
2005-12-23,10,41.59
2005-12-30,12,40.48
2006-01-06,12,40.38
2006-01-13,11,41.91
2006-01-20,10,40.17
2006-01-27,10,40
2006-02-03,11,39.82
2006-02-10,10,39.22
2006-02-17,10,41.86
2006-02-24,10,41.63
2006-03-03,10,42.2
2006-03-10,10,41.25
2006-03-17,10,42.9
2006-03-24,10,43.12
2006-03-31,10,42.3
2006-04-07,10,42.1
2006-04-21,10,40.28
2006-04-28,11,39.93
2006-05-05,10,41.29
2006-05-12,11,40
2006-05-19,11,38.94
2006-05-26,11,38.67
2006-06-02,11,38
2006-06-09,12,36.95
2006-06-16,11,36.91
2006-06-23,11,36.41
2006-06-30,10,35.79
2006-07-07,10,35.37
2006-07-14,10,33.84
2006-07-21,10,33.85
2006-07-28,10,34.59
2006-08-04,11,34.71
2006-08-11,10,33.27
2006-08-18,11,34.77
2006-08-25,11,33.48
2006-09-01,12,34.64
2006-09-08,12,34.28
2006-09-15,12,37.22
2006-09-22,12,35.96
2006-09-29,12,36.27
2006-10-06,12,37.14
2006-10-13,12,36.9
2006-10-20,12,35.99
2006-10-27,12,37.07
2006-11-03,13,37.2
2006-11-10,13,36.64
2006-11-17,15,38.28
2006-11-24,16,37.72
2006-12-01,16,38.97
2006-12-08,16,38.8
2006-12-15,16,39.89
2006-12-22,16,38.89
2006-12-29,20,40.16
2007-01-05,19,39.79
2007-01-12,16,40.11
2007-01-19,16,40.55
2007-01-26,15,39.94
2007-02-02,15,40.83
2007-02-09,14,41
2007-02-16,14,41.44
2007-02-23,14,40.96
2007-03-02,14,39.01
2007-03-09,14,38.67
2007-03-16,14,37.51
2007-03-23,14,38.22
2007-03-30,15,36.74
2007-04-13,14,37.89
2007-04-20,14,39.21
2007-04-27,14,38.47
2007-05-04,14,38.9
2007-05-11,14,38.86
2007-05-18,14,38.88
2007-05-25,15,38.38
2007-06-01,15,39.21
2007-06-08,14,37.95
2007-06-15,14,37.95
2007-06-22,14,39.36
2007-06-29,14,39.35
2007-07-06,15,40.3
2007-07-13,15,40.87
2007-07-20,15,39.39
2007-07-27,15,36.75
2007-08-03,16,36.19
2007-08-10,16,35.92
2007-08-17,16,33.31
2007-08-24,17,34.68
2007-08-31,17,38.31
2007-09-07,17,34.21
2007-09-14,17,35.68
2007-09-21,17,34.47
2007-09-28,17,32.44
2007-10-05,18,34.22
2007-10-12,18,33.44
2007-10-19,18,30.76
2007-10-26,18,31.35
2007-11-02,20,30.4
2007-11-09,20,28.05
2007-11-16,20,29.07
2007-11-23,23,28.95
2007-11-30,23,28.56
2007-12-07,23,29.49
2007-12-14,23,26.63
2007-12-21,24,26.66
2007-12-28,29,26.68
2008-01-04,29,24.96
2008-01-11,25,24.71
2008-01-18,22,26.28
2008-01-25,21,28.53
2008-02-01,21,30.45
2008-02-08,21,27.97
2008-02-15,21,27.52
2008-02-22,25,27.77
2008-02-29,20,26.55
2008-03-07,19,25.88
2008-03-14,19,25.75
2008-03-28,19,27.38
2008-04-04,18,28.79
2008-04-11,18,28.17
2008-04-18,18,28.68
2008-04-25,18,29.78
2008-05-02,18,30.12
2008-05-09,18,27.98
2008-05-16,18,29.1
2008-05-23,19,26.77
2008-05-30,19,27.36
2008-06-06,20,27.18
2008-06-13,19,27.53
2008-06-20,19,26.25
2008-06-27,20,24.02
2008-07-11,20,21.58
2008-07-18,20,23.44
2008-07-25,19,23.8
2008-08-01,19,23.9
2008-08-08,21,26.37
2008-08-15,21,27.53
2008-08-22,21,27.11
2008-08-29,21,27.12
2008-09-05,20,28.59
2008-09-12,21,28.8
2008-09-19,22,27.37
2008-09-26,22,26.46
2008-10-03,22,23.81
2008-10-10,22,19.75
2008-10-17,22,20.21
2008-10-24,22,18.51
2008-10-31,24,23.59
2008-11-07,24,21.06
2008-11-14,25,20.54
2008-11-21,26,19.29
2008-11-28,28,23.11
2008-12-05,29,24.4
2008-12-12,29,23.47
2008-12-19,29,24.22
2008-12-26,35,23.56
2009-01-02,34,24.13
2009-01-09,30,23.86
2009-01-16,29,23.2
2009-01-23,28,21.72
2009-01-30,27,21.53
2009-02-06,27,23.53
2009-02-13,25,21.22
2009-02-20,26,19.46
2009-02-27,26,20.89
2009-03-06,25,18
2009-03-13,25,20.71
2009-03-20,25,22.16
2009-03-27,25,23.63
2009-04-03,25,25
2009-04-17,25,26.1
2009-04-24,25,26.31
2009-05-01,24,25.77
2009-05-08,25,25.5
2009-05-15,25,24.4
2009-05-22,25,22.86
2009-05-29,25,23.16
2009-06-05,26,24.17
2009-06-12,26,24.15
2009-06-19,25,23.52
2009-06-26,25,23.61
2009-07-10,26,22.52
2009-07-17,26,24.67
2009-07-24,26,25.32
2009-07-31,27,25.94
2009-08-07,27,27.26
2009-08-14,29,27.14
2009-08-21,28,27.5
2009-08-28,28,27.69
2009-09-04,28,27.03
2009-09-11,28,27.34
2009-09-18,31,28.23
2009-09-25,30,26.85
2009-10-02,28,26.03
2009-10-09,29,26.96
2009-10-16,28,27.26
2009-10-23,29,26.27
2009-10-30,29,25.09
2009-11-06,30,26.08
2009-11-13,31,27.34
2009-11-20,34,27.18
2009-11-27,35,27.61
2009-12-04,35,28.08
2009-12-11,35,28.49
2009-12-18,35,28.65
2010-01-08,37,28.98
2010-01-15,34,28.57
2010-01-22,33,27.72
2010-01-29,32,28.01
2010-02-05,33,27.98
2010-02-12,33,29
2010-02-19,34,30.15
2010-02-26,33,31.2
2010-03-05,32,31.8
2010-03-12,32,32.45
2010-03-19,31,32.36
2010-03-26,31,32.75
2010-04-09,33,33.25
2010-04-16,32,35.01
2010-04-23,31,36.39
2010-04-30,32,35.23
2010-05-07,33,33.43
2010-05-14,34,35.2
2010-05-21,34,33.02
2010-05-28,34,33.86
2010-06-04,36,32.15
2010-06-11,38,32.22
2010-06-18,37,31.94
2010-06-25,34,30.2
2010-07-02,34,27.76
2010-07-09,32,28.26
2010-07-16,33,27.11
2010-07-23,36,28.25
2010-07-30,35,28.51
2010-08-06,37,28.68
2010-08-13,36,27.31
2010-08-20,37,28.17
2010-08-27,35,28.74
2010-09-03,35,29.85
2010-09-10,35,29.68
2010-09-17,37,29.89
2010-09-24,38,31.64
2010-10-01,38,31.82
2010-10-08,37,31.89
2010-10-15,38,30.7
2010-10-22,39,31.48
2010-10-29,41,30.9
2010-11-05,43,31.92
2010-11-12,41,31.44
2010-11-19,41,31.22
2010-11-26,45,31
2010-12-03,43,33.48
2010-12-10,44,34.4
2010-12-17,44,35.1
2010-12-31,52,35.06
2011-01-07,48,34.38
2011-01-14,44,35.89
2011-01-21,43,36.51
2011-01-28,43,36.7
2011-02-04,42,36.8
2011-02-11,42,37.48
2011-02-18,42,38.48
2011-02-25,42,37.08
2011-03-04,41,37.22
2011-03-11,42,37.14
2011-03-18,40,36
2011-03-25,41,37.42
2011-04-01,42,37.56
2011-04-08,42,37.46
2011-04-15,42,38.17
2011-04-29,42,37.15
2011-05-06,42,36.99
2011-05-13,42,37.01
2011-05-20,43,37.05
2011-05-27,43,36
2011-06-03,43,34.63
2011-06-10,43,33.47
2011-06-17,43,34.53
2011-06-24,43,35.08
2011-07-01,44,36.73
2011-07-08,44,36.62
2011-07-15,44,35.91
2011-07-22,45,36.52
2011-07-29,47,34.93
2011-08-05,46,30.74
2011-08-12,46,30.58
2011-08-19,47,31.88
2011-08-26,44,34
2011-09-02,45,32.18
2011-09-09,46,31.87
2011-09-16,45,34.61
2011-09-23,45,33.72
2011-09-30,45,32.87
2011-10-07,45,33.92
2011-10-14,46,35.05
2011-10-21,47,36.86
2011-10-28,48,36.12
2011-11-04,49,36.39
2011-11-11,51,38.06
2011-11-18,49,37.88
2011-11-25,54,36.47
2011-12-02,53,39.94
2011-12-09,52,40.23
2011-12-16,54,40.42
2011-12-23,56,42.09
2011-12-30,61,42.04
2012-01-06,56,43.2
2012-01-13,53,43.51
2012-01-20,51,44.51
2012-01-27,53,44.87
2012-02-03,51,45.17
2012-02-10,50,45.33
2012-02-17,50,46.71
2012-02-24,50,46.98
2012-03-02,53,47.41
2012-03-09,51,48.1
2012-03-16,49,49.05
2012-03-23,50,49.54
2012-03-30,50,50.31
2012-04-13,52,50.96
2012-04-20,50,51.46
2012-04-27,51,51.95
2012-05-04,54,51.96
2012-05-11,51,50.34
2012-05-18,53,47.05
2012-05-25,53,49.44
2012-06-01,55,47.96
2012-06-08,57,52.35
2012-06-15,56,51.87
2012-06-22,53,52.02
2012-06-29,54,52.99
2012-07-06,53,52.15
2012-07-13,56,52.09
2012-07-20,55,50.7
2012-07-27,57,53.71
2012-08-03,60,52.29
2012-08-10,59,53.06
2012-08-17,58,56.73
2012-08-24,60,56.96
2012-08-31,60,56.75
2012-09-07,60,57.26
2012-09-14,59,59.46
2012-09-21,60,59.42
2012-09-28,58,60.37
2012-10-05,59,63.2
2012-10-12,59,59.56
2012-10-19,58,61.89
2012-10-26,63,60.04
2012-11-02,61,62.02
2012-11-09,62,60.96
2012-11-16,63,62.12
2012-11-23,65,64.82
2012-11-30,66,65.07
2012-12-07,65,64.45
2012-12-14,67,62.06
2012-12-21,70,61.32
2012-12-28,80,60.65
2013-01-04,75,63.18
2013-01-11,66,63.7
2013-01-18,66,65.47
2013-01-25,69,67.82
2013-02-01,67,67.3
2013-02-08,65,67.01
2013-02-15,67,67.52
2013-02-22,67,65.58
2013-03-01,67,69.03
2013-03-08,65,71.37
2013-03-15,64,69.05
2013-03-22,67,69.56
2013-04-05,68,70.06
2013-04-12,68,73.62
2013-04-19,64,74
2013-04-26,64,73.35
2013-05-03,66,73.96
2013-05-10,68,76.01
2013-05-17,68,76.86
2013-05-24,66,78.99
2013-05-31,69,78.66
2013-06-07,70,78.74
2013-06-14,74,76.59
2013-06-21,72,73.82
2013-06-28,73,77.47
2013-07-05,75,78.29
2013-07-12,73,80.54
2013-07-19,75,79.89
2013-07-26,74,78.74
2013-08-02,75,80.23
2013-08-09,77,78.97
2013-08-16,79,75.38
2013-08-23,78,73.89
2013-08-30,80,74.49
2013-09-06,78,72.7
2013-09-13,77,75.11
2013-09-20,75,77
2013-09-27,77,75.96
2013-10-04,76,75.78
2013-10-11,80,76.32
