"Date","buy.DD","Price"
2008-10-17,16,33.77
2009-03-06,11,16.87
2009-03-13,21,19.49
2009-03-20,40,20.66
2009-03-27,42,22.7
2009-04-03,100,25.97
2009-07-10,23,24.61
2009-07-17,11,27.57
2009-07-24,11,30.04
2009-09-11,9,31.81
2009-10-23,11,33.23
2009-12-18,9,31.87
2010-03-19,7,36.86
2010-03-26,8,37.69
2010-04-09,9,39.19
2010-04-16,10,38.66
2010-04-23,7,40.22
2010-06-04,8,34.41
2010-07-23,8,38.34
2010-07-30,8,40.67
2010-08-06,8,42.13
2010-08-13,8,40.32
2010-08-20,8,40.34
2010-08-27,8,41.01
2010-09-03,7,42.51
2010-09-10,7,42.29
2010-09-17,7,43.95
2010-09-24,6,45.58
2010-10-01,6,44.85
2010-10-08,6,46.66
2010-10-15,6,46.67
2010-10-22,6,46.83
2010-10-29,6,47.28
2010-11-05,7,48.18
2010-11-12,6,46.52
2010-11-19,6,47.1
2010-11-26,6,46.31
2010-12-03,7,49.24
2010-12-10,7,48.62
2010-12-17,8,49.86
2010-12-31,6,49.88
2011-01-07,6,49.76
2011-01-14,6,49.8
2011-01-21,6,48.35
2011-01-28,6,50.29
2011-02-04,6,52.53
2011-02-11,7,54.58
2011-02-18,6,55.98
2011-02-25,6,54.07
2011-03-04,7,53.87
2011-03-11,6,52.9
2011-03-18,6,52.99
2011-03-25,9,54.1
2011-04-01,7,55.19
2011-04-08,7,55.4
2011-04-15,6,54.89
2011-04-29,11,56.79
2011-05-06,8,54.63
2011-05-13,8,52.91
2011-05-20,9,52.74
2011-05-27,8,52.56
2011-06-03,8,50.29
2011-06-10,7,49.78
2011-06-17,7,49.57
2011-06-24,6,51.96
2011-07-01,6,54.47
2011-07-08,6,55.42
2011-07-15,8,54.09
2011-07-22,5,54.85
2011-07-29,7,51.42
2011-08-05,8,47.27
2011-08-12,8,47.36
2011-08-19,6,43.79
2011-08-26,6,46.09
2011-09-02,6,46.76
2011-09-09,6,45.27
2011-09-16,5,47.12
2011-09-23,5,40.46
2011-09-30,7,39.97
2011-10-07,7,41.9
2011-10-14,7,45.09
2011-10-21,6,45.15
2011-10-28,9,49.36
2011-11-04,5,48.7
2011-11-11,6,48.52
2011-11-18,6,46.41
2011-11-25,6,43.86
2011-12-02,7,47.02
2011-12-09,7,45.04
2011-12-16,5,43.98
2011-12-23,6,46.17
2011-12-30,7,45.78
2012-01-06,8,46.04
2012-01-13,7,48.4
2012-01-20,9,49.42
2012-01-27,6,50.72
2012-02-03,14,52.01
2012-02-10,6,51.15
2012-02-17,5,51.48
2012-02-24,7,50.99
2012-03-02,4,51.45
2012-03-09,9,51.5
2012-03-16,9,53.38
2012-03-23,9,52.63
2012-03-30,8,52.9
2012-04-13,8,52.02
2012-04-20,4,52.62
2012-04-27,4,53.72
2012-05-04,7,52.89
2012-05-11,6,51.57
2012-05-18,7,47.97
2012-05-25,9,48.4
2012-06-01,6,47.21
2012-06-08,9,49.5
2012-06-15,5,50.24
2012-06-22,7,49.96
2012-06-29,6,50.57
2012-07-06,6,48.9
2012-07-13,6,47.63
2012-07-20,6,48.87
2012-07-27,6,49.71
2012-08-03,6,49.47
2012-08-10,6,51.08
2012-08-17,8,50.65
2012-08-24,7,50.35
2012-08-31,7,49.75
2012-09-07,4,50.56
2012-09-14,7,52.24
2012-09-21,7,51.8
2012-09-28,9,50.27
2012-10-05,6,50.35
2012-10-12,5,48.69
2012-10-19,7,49.34
2012-10-26,6,45.18
2012-11-02,6,44.15
2012-11-09,9,43.34
2012-11-16,5,41.95
2012-11-23,8,43.12
2012-11-30,4,43.14
2012-12-07,5,43.18
2012-12-14,8,44.09
2012-12-21,7,44.93
2012-12-28,5,44.71
2013-01-04,9,45.73
2013-01-11,7,46.15
2013-01-18,7,46.99
2013-01-25,7,48.33
2013-02-01,5,47.98
2013-02-08,4,47.5
2013-02-15,5,46.94
2013-02-22,7,47.24
2013-03-01,6,48.09
2013-03-08,6,49.15
2013-03-15,7,49.9
2013-03-22,6,49.27
2013-04-05,8,48.69
2013-04-12,6,49.82
2013-04-19,7,49.19
2013-04-26,5,52.9
2013-05-03,9,53.94
2013-05-10,8,55.46
2013-05-17,6,55.89
2013-05-24,6,55.35
2013-05-31,4,55.79
2013-06-07,9,55.44
2013-06-14,7,52.68
2013-06-21,8,52.91
2013-06-28,8,52.5
2013-07-05,9,53
2013-07-12,5,54.41
2013-07-19,8,57.14
2013-07-26,6,57.66
2013-08-02,10,59.92
2013-08-09,7,59.74
2013-08-16,8,58.28
2013-08-23,7,57.9
2013-08-30,4,56.62
2013-09-06,8,57.11
2013-09-13,5,58.88
2013-09-20,7,59.42
2013-09-27,8,59.01
2013-10-04,7,58.65
2013-10-11,6,57.93
2013-10-18,6,59.62
2013-10-25,6,61.9
2013-11-01,4,61.09
2013-11-08,3,62
2013-11-15,6,62.11
2013-11-22,5,61.7
2013-11-29,6,61.38
2013-12-06,9,61.34
2013-12-13,6,60.24
2013-12-20,8,62.55
2013-12-27,7,64.25
2014-01-03,6,63.78
2014-01-10,5,63.54
2014-01-17,7,64.02
2014-01-24,4,59.97
2014-01-31,5,61.01
2014-02-07,6,63.45
2014-02-14,7,64.5
2014-02-21,7,64.87
2014-02-28,8,66.62
2014-03-07,5,67.24
2014-03-14,7,65.77
2014-03-21,7,66.98
2014-03-28,6,66.62
2014-04-04,5,67.34
2014-04-11,8,66.09
2014-04-25,10,66.66
