"Date","buy.GS","Price"
2006-01-27,100,138.94
2006-02-03,99,142.74
2006-02-10,80,140.81
2006-04-07,76,161.02
2006-04-21,78,165.89
2006-11-24,72,201.6
2006-12-01,58,194.5
2006-12-08,63,205.1
2007-04-13,49,206.5
2007-04-20,49,220
2007-07-20,51,205.94
2007-07-27,45,192.65
2007-08-03,45,179.68
2007-08-10,45,180.5
2007-08-17,45,175
2007-08-24,57,179.73
2007-08-31,53,176.01
2007-09-07,53,178.98
2007-09-14,53,190.59
2007-09-21,44,209.98
2007-09-28,44,216.74
2007-10-05,43,228.5
2007-10-12,43,233.56
2007-10-19,43,217.69
2007-10-26,57,235.92
2007-11-02,52,229.6
2007-11-09,52,211.33
2007-11-16,38,225.25
2007-11-23,38,216.48
2007-11-30,58,226.64
2007-12-07,36,217.89
2007-12-14,47,210.67
2007-12-21,51,209.6
2007-12-28,52,211.94
2008-01-04,60,199.93
2008-01-11,68,198.74
2008-01-18,34,187.21
2008-01-25,34,191.37
2008-02-01,45,207.78
2008-02-08,43,187.07
2008-02-15,45,178.41
2008-02-22,61,177.71
2008-02-29,42,169.63
2008-03-07,42,160.07
2008-03-14,42,156.86
2008-03-28,57,164.45
2008-04-04,46,175.4
2008-04-11,33,167.3
2008-04-18,55,179.93
2008-04-25,33,192
2008-05-02,34,200.27
2008-05-09,40,188.09
2008-05-16,49,187.14
2008-05-23,58,172.64
2008-05-30,42,176.41
2008-06-06,54,169.44
2008-06-13,75,178.29
2008-06-20,37,183.77
2008-06-27,37,174.56
2008-07-11,53,162.48
2008-07-18,74,182.84
2008-07-25,43,178.66
2008-08-01,53,182
2008-08-08,53,175.95
2008-08-15,48,163.18
2008-08-22,46,159.81
2008-08-29,33,163.97
2008-09-05,33,163.24
2008-09-12,56,154.21
2008-09-19,53,129.8
2008-09-26,65,137.99
2008-10-03,68,128
2008-10-10,29,88.8
2008-10-17,45,114.3
2008-10-24,28,100.4
2008-10-31,40,92.5
2008-11-07,52,77.78
2008-11-14,65,66.73
2008-11-21,54,53.31
2008-11-28,50,78.99
2008-12-05,46,70.72
2008-12-12,42,67.74
2008-12-19,55,80.73
2008-12-26,74,75.97
2009-01-02,60,86.76
2009-01-09,35,83.92
2009-01-16,37,73.05
2009-01-23,54,74.91
2009-01-30,28,80.73
2009-02-06,53,96.57
2009-02-13,40,96.45
2009-02-20,28,84.59
2009-02-27,42,91.08
2009-03-06,34,75.65
2009-03-13,54,98.8
2009-03-20,27,97.32
2009-03-27,34,108.08
2009-04-03,40,119.4
2009-04-17,30,120.6
2009-04-24,44,121.3
2009-05-01,40,127.08
2009-05-08,36,139.59
