"Date","AXP","Price"
2004-02-06,83,53.06
2004-02-13,86,53.65
2004-02-20,75,53.16
2004-02-27,74,53.42
2004-03-05,76,52.77
2004-03-12,79,52.12
2004-03-19,81,51.08
2004-03-26,83,50.03
2004-04-02,85,52.43
2004-04-16,92,50.58
2004-04-23,59,50.27
2004-04-30,46,48.95
2004-05-07,46,48.49
2004-05-14,59,48.86
2004-05-21,73,49.63
2004-05-28,82,50.7
2004-06-04,91,50.98
2004-06-18,54,51.96
2004-06-25,55,51.35
2004-07-02,46,51.24
2004-07-09,61,50.01
2004-07-16,56,48.73
2004-07-23,56,48.11
2004-07-30,56,50.25
2004-08-06,56,49.34
2004-08-13,55,49.35
2004-08-20,67,50
2004-08-27,69,50
2004-09-03,55,50.26
2004-09-10,51,51.33
2004-09-17,64,51.4
2004-09-24,47,51.21
2004-10-01,47,51.65
2004-10-08,59,52.25
2004-10-15,70,52.5
2004-10-22,53,51.73
2004-10-29,57,53.07
2004-11-05,60,55.12
2004-11-12,61,55.63
2004-11-19,43,55.7
2004-11-26,45,56.11
2004-12-03,47,56.25
2004-12-10,50,55.18
2004-12-17,54,55.91
2004-12-31,65,56.37
2005-01-07,74,53.76
2005-01-14,53,52.72
2005-01-21,59,51.93
2005-01-28,74,52.8
2005-02-04,67,55.82
2005-02-11,56,55.19
2005-02-18,38,54.13
2005-02-25,81,54.58
2005-03-04,54,54.95
2005-03-11,58,53.54
2005-03-18,49,52.4
2005-04-01,50,50.9
2005-04-08,50,51.54
2005-04-15,51,50.72
2005-04-22,52,49.81
2005-04-29,42,52.7
2005-05-06,40,53
2005-05-13,57,51.75
2005-05-20,51,53.06
2005-05-27,51,53.25
2005-06-03,42,54.18
2005-06-10,46,54.71
2005-06-17,45,54.83
2005-06-24,45,53.61
2005-07-01,42,53.54
2005-07-08,49,53.93
2005-07-15,39,53.76
2005-07-22,36,54.57
2005-07-29,33,55
2005-08-05,45,55.81
2005-08-12,41,56.67
2005-08-19,32,56.1
2005-08-26,43,55.01
2005-09-02,36,55.36
2005-09-09,51,58.19
2005-09-16,28,59.46
2005-09-23,37,56.9
2005-09-30,45,57.44
2005-10-07,66,49.82
2005-10-14,63,47.95
2005-10-21,61,47.15
2005-10-28,36,49.54
2005-11-04,46,49.4
2005-11-11,31,50.45
2005-11-18,39,49.91
2005-11-25,31,52.62
2005-12-02,52,51.61
2005-12-09,37,51.15
2005-12-16,44,51.93
2005-12-23,56,52.31
2005-12-30,43,51.46
2006-01-06,43,52.68
2006-01-13,44,53.44
2006-01-20,38,51.4
2006-01-27,47,53.3
2006-02-03,40,52.33
2006-02-10,34,53
2006-02-17,44,54.45
2006-02-24,43,54.87
2006-03-03,34,53.75
2006-03-10,25,54.23
2006-03-17,19,54.65
2006-03-24,36,53.18
2006-03-31,25,52.55
2006-04-07,25,51.7
2006-04-21,42,52.25
2006-04-28,27,53.81
2006-05-05,34,53.75
2006-05-12,46,52.89
2006-05-19,22,52.23
2006-05-26,62,54.41
2006-06-02,31,54.72
2006-06-09,31,53.46
2006-06-16,35,52.92
2006-06-23,27,52.59
2006-06-30,27,53.22
2006-07-07,24,51.98
2006-07-14,23,51.27
2006-07-21,29,50.62
2006-07-28,41,52.19
2006-08-04,32,52.21
2006-08-11,26,51.8
2006-08-18,36,53.26
2006-08-25,32,52.92
2006-09-01,21,52.55
2006-09-08,23,52.62
2006-09-15,25,53.75
2006-09-22,38,54.11
2006-09-29,30,56.08
2006-10-06,28,56.59
2006-10-13,34,58.02
2006-10-20,36,58.04
2006-10-27,30,57.27
2006-11-03,27,57.06
2006-11-10,32,58.86
2006-11-17,36,59.84
2006-11-24,28,59.9
2006-12-01,24,58.55
2006-12-08,23,59.83
2006-12-15,33,61.64
2006-12-22,24,60.85
2006-12-29,19,60.67
2007-01-05,52,59.13
2007-01-12,26,59.01
2007-01-19,33,58.09
2007-01-26,38,57.85
2007-02-02,37,58.16
2007-02-09,36,57.53
2007-02-16,32,59.02
2007-02-23,30,58.02
2007-03-02,43,55.44
2007-03-09,49,56.9
2007-03-16,31,55.55
2007-03-23,34,57.43
2007-03-30,24,56.4
2007-04-13,30,57.36
2007-04-20,41,61
2007-04-27,25,62.14
2007-05-04,39,63.39
2007-05-11,25,62.97
2007-05-18,31,63.96
2007-05-25,40,63.63
2007-06-01,35,65.07
2007-06-08,23,63.04
2007-06-15,38,63.77
