"Date","Exxon.Mobil.Corporation","Price"
2008-01-18,79,85.08
2008-04-11,74,88.62
2008-04-18,83,94
2008-04-25,91,92.46
2008-05-02,100,89.61
2008-05-09,74,88.82
2008-05-16,74,92.67
2008-05-23,74,90.7
2008-05-30,74,88.76
2008-09-26,80,80.65
2008-10-03,67,77.94
2008-12-12,69,80.45
2009-04-24,72,66.57
2009-06-12,59,73.78
2009-06-19,53,71.05
2009-06-26,56,69.05
2009-07-10,61,65.12
2009-07-17,64,68.52
2009-07-24,66,72.29
2009-07-31,61,70.39
2009-08-07,61,69.47
2009-08-14,61,68.21
2009-08-21,64,69.92
2009-08-28,66,70.12
2009-09-04,69,69.18
2009-09-11,71,69.98
2009-09-18,51,69.99
2009-09-25,51,68.7
2009-10-02,93,66.58
2009-10-09,69,69.27
2009-10-16,83,73.12
2009-10-23,57,73.57
2009-10-30,57,71.67
2009-11-06,58,72.58
2009-11-13,60,72.47
2009-11-20,46,74.38
2009-11-27,53,74.87
2009-12-04,73,74.25
2009-12-11,93,72.83
2009-12-18,80,68.21
2010-01-08,57,69.52
2010-01-15,57,69.11
2010-01-22,57,66.1
2010-01-29,51,64.43
2010-02-05,56,64.8
2010-02-12,68,64.8
2010-02-19,59,65.87
2010-02-26,59,65
2010-03-05,59,66.47
2010-03-12,59,66.8
2010-03-19,61,67.04
2010-03-26,63,66.54
2010-04-09,49,68.76
2010-04-16,59,67.93
2010-04-23,76,69.24
2010-04-30,43,67.77
2010-05-07,69,63.7
2010-05-14,61,63.6
2010-05-21,44,60.88
2010-05-28,44,60.46
2010-06-04,54,59.53
2010-06-11,42,61.86
2010-06-18,42,63.1
2010-06-25,42,59.1
2010-07-02,42,56.57
2010-07-09,42,58.78
2010-07-16,48,57.96
2010-07-23,54,59.72
2010-07-30,58,59.68
2010-08-06,51,61.97
2010-08-13,51,59.91
2010-08-20,51,58.89
2010-08-27,51,59.8
2010-09-03,38,61.32
2010-09-10,38,61.2
2010-09-17,38,60.78
2010-09-24,38,61.75
2010-10-01,37,62.54
2010-10-08,37,64.38
2010-10-15,41,65.19
2010-10-22,36,66.34
2010-10-29,36,66.49
2010-12-10,56,72.18
2010-12-17,39,72.17
2010-12-31,39,73.12
2011-01-07,39,75.59
2011-01-14,46,77.84
2011-01-21,48,78.98
2011-01-28,50,78.99
2011-02-04,52,83.28
2011-02-11,55,82.82
2011-02-18,54,84.5
2011-02-25,54,85.34
2011-03-04,50,85.08
2011-03-11,38,82.12
2011-03-18,40,80.85
2011-03-25,41,83.62
2011-04-01,43,84.68
2011-04-08,44,85.95
2011-04-15,46,84.29
2011-04-29,49,87.98
2011-05-06,38,82.69
2011-05-13,43,80.87
2011-05-20,47,81.57
2011-05-27,51,82.63
2011-06-03,56,81.18
2011-06-10,60,79.78
2011-06-17,44,79.02
2011-06-24,44,76.78
2011-07-01,32,82.01
2011-07-08,32,82.42
2011-07-15,32,83
2011-07-22,32,85.22
2011-07-29,51,79.79
2011-08-05,40,74.82
2011-08-12,40,72
2011-08-19,34,69.8
2011-08-26,33,72.64
2011-09-02,33,72.14
2011-09-09,34,71.01
2011-09-16,35,74.55
2011-09-23,40,69.31
2011-09-30,43,72.63
2011-10-07,37,73.56
2011-10-14,44,78.11
2011-10-21,34,80.13
2011-10-28,38,81.48
2011-11-04,42,78.52
2011-11-11,42,79.72
2011-11-18,35,77.9
2011-11-25,35,73.9
2011-12-02,35,79.79
2011-12-09,33,81.34
2011-12-16,33,80.16
2012-01-27,28,85.83
2012-02-03,38,84.92
2012-02-10,32,83.8
2012-02-17,38,85.62
2012-02-24,45,87.34
2012-03-02,38,86.33
2012-03-09,25,84.3
2012-03-16,25,86.44
2012-03-23,30,85.55
2012-03-30,28,86.73
2012-04-13,26,82.95
2012-04-20,50,85.3
2012-04-27,37,86.08
2012-05-04,46,84.57
2012-05-11,39,83.1
2012-05-18,42,81.47
2012-05-25,40,82.08
2012-06-01,25,77.92
2012-06-08,30,80.84
2012-06-15,34,83.22
2012-06-22,27,82.11
2012-06-29,28,85.57
2012-07-06,30,84.8
2012-07-13,30,85.47
2012-07-20,30,85.95
2012-07-27,30,87.45
2012-08-03,30,87.55
2012-08-10,33,88.44
2012-08-17,25,88.4
2012-08-24,32,88.05
2012-08-31,39,87.3
2012-09-07,40,89.92
2012-09-14,41,92.3
2012-09-21,31,91.92
2012-09-28,33,91.45
2012-10-05,32,92.55
2012-10-12,25,91.03
2012-10-19,25,92.15
2012-10-26,25,90.62
2012-11-02,31,90.27
2012-11-09,38,87.21
2012-11-16,31,86.45
2012-11-23,33,89.09
2012-11-30,32,88.14
2012-12-07,32,88.6
2012-12-14,26,88.08
2012-12-21,26,87.23
2012-12-28,26,85.1
2013-01-04,26,88.96
2013-01-11,35,89.61
2013-01-18,25,90.8
2013-01-25,23,91.73
2013-02-01,53,90.04
2013-02-08,37,88.61
2013-02-15,37,88.36
2013-02-22,26,89.2
2013-03-01,26,89.43
2013-03-08,28,88.97
2013-03-15,39,89.37
2013-03-22,35,89.29
2013-04-05,24,89.01
2013-04-12,34,88.99
2013-04-19,26,87.45
2013-04-26,38,88
2013-05-03,28,90.02
2013-05-10,30,90.14
2013-05-17,26,91.76
2013-05-24,26,91.53
2013-05-31,28,90.47
2013-06-07,20,91.45
2013-06-14,24,90.58
2013-06-21,26,89.48
2013-06-28,28,90.35
2013-07-05,35,91.57
2013-07-12,29,93.4
2013-07-19,24,95.17
2013-07-26,24,94.79
2013-08-02,22,91.95
2013-08-09,22,90.72
2013-08-16,27,87.91
2013-08-23,32,87.52
2013-08-30,28,87.16
2013-09-06,27,87.25
2013-09-13,44,88.4
2013-09-20,26,88.66
2013-09-27,29,86.9
2013-10-04,36,86.32
2013-10-11,26,86.95
2013-10-18,38,87.55
2013-10-25,33,87.97
2013-11-01,28,89.82
2013-11-08,27,92.73
2013-11-15,39,95.27
2013-11-22,31,95.01
2013-11-29,29,93.48
