"Date","EIX","Price"
2004-02-27,64,23.09
2004-03-05,60,23.72
2004-03-12,60,23.18
2004-03-19,60,23.63
2004-03-26,60,23.66
2004-04-02,60,24.18
2004-05-14,67,22.45
2004-05-21,63,22.77
2004-05-28,63,24.14
2004-06-04,54,24.42
2004-06-18,68,24.85
2004-06-25,53,25.57
2004-08-27,76,26.81
2004-09-03,54,27.08
2004-09-10,54,27.06
2004-09-17,65,26.71
2004-09-24,55,26.6
2004-10-01,55,26.75
2004-10-08,64,26.78
2004-10-15,73,28.88
2004-10-22,83,29.38
2004-10-29,92,30.5
2004-11-05,57,30.82
2004-11-12,63,32.09
2004-11-19,69,31.77
2004-11-26,53,32.27
2005-01-07,45,30.95
2005-01-14,50,31.2
2005-01-21,55,31.6
2005-01-28,53,31.99
2005-02-04,54,32.9
2005-02-11,55,32.68
2005-02-18,60,32.5
2005-02-25,38,32.69
2005-03-04,38,32.99
2005-03-11,39,33.57
2005-03-18,36,34.23
2005-04-01,34,35.05
2005-04-08,64,35.65
2005-04-15,57,35.35
2005-04-22,43,36.13
2005-04-29,49,36.3
2005-05-06,43,36.49
2005-05-13,54,36.03
2005-05-20,48,37.25
2005-05-27,73,37.34
2005-06-03,37,37.54
2005-06-10,37,37.89
2005-06-17,38,38.46
2005-06-24,49,39.88
2005-07-01,63,40.86
2005-07-08,64,40.53
2005-07-15,39,40.2
2005-07-22,63,39.81
2005-07-29,62,40.88
2005-08-05,35,40.75
2005-08-12,45,41.38
2005-08-19,65,41.97
2005-08-26,52,43.45
2005-09-02,52,45.19
2005-09-09,53,47.15
2005-09-16,54,46.75
2005-09-23,55,45.36
2005-09-30,41,47.28
2005-10-07,44,45.67
2005-10-14,38,43.5
2005-10-21,43,41.14
2005-10-28,40,43.09
2005-11-04,57,43.08
2005-11-11,55,41.9
2005-11-18,55,43.87
2005-11-25,40,44.95
2005-12-02,56,45.63
2005-12-09,35,46.25
2005-12-16,30,47.08
2005-12-23,48,43.72
2005-12-30,34,43.61
2006-01-06,44,45.01
2006-01-13,54,45.77
2006-01-20,79,45.95
2006-01-27,74,44.66
2006-02-03,66,43.03
2006-02-10,33,43.22
2006-02-17,68,44.1
2006-02-24,38,45.01
2006-03-03,51,44.23
2006-03-10,52,42.55
2006-03-17,55,43.35
2006-03-24,47,43.26
2006-03-31,36,41.18
2006-04-07,68,40.3
2006-04-21,51,40.64
2006-04-28,52,40.41
2006-05-05,49,41.09
2006-05-12,42,40.46
2006-05-19,48,39.28
2006-05-26,100,38.7
2006-06-02,57,40.31
2006-06-09,51,39.79
2006-06-16,45,40.56
2006-06-23,34,39.17
2006-06-30,45,39
2006-07-07,51,39.41
2006-07-14,36,38.88
2006-07-21,51,40.52
2006-07-28,55,41.61
2006-08-04,47,42.59
2006-08-11,48,42.18
2006-08-18,62,42.07
2006-08-25,44,42.88
2006-09-01,54,43.64
2006-09-08,47,42.15
2006-09-15,70,41.04
2006-09-22,39,41.2
2006-09-29,54,41.64
2006-10-06,50,42.14
2006-10-13,54,42.22
2006-10-20,39,43.9
