"Date","D","Price"
2004-02-06,45,63.3
2004-02-13,47,63.02
2004-02-20,48,62.8
2004-02-27,46,62.83
2004-03-05,49,65.08
2004-03-12,48,64.02
2004-03-19,47,63.87
2004-03-26,49,62.5
2004-04-02,50,64.31
2004-04-16,48,63.9
2004-04-23,51,63.57
2004-04-30,50,63.81
2004-05-07,51,62.98
2004-05-14,49,62.46
2004-05-21,49,61.6
2004-05-28,49,62.97
2004-06-04,55,61.49
2004-06-18,48,63.18
2004-06-25,49,63.91
2004-07-02,48,63.25
2004-07-09,48,62.36
2004-07-16,49,63.79
2004-07-23,49,62.68
2004-07-30,48,63.46
2004-08-06,47,63.31
2004-08-13,47,63.54
2004-08-20,47,64.7
2004-08-27,49,64.69
2004-09-03,50,64.76
2004-09-10,49,65.69
2004-09-17,50,64.96
2004-09-24,48,64.6
2004-10-01,51,65.7
2004-10-08,50,65.97
2004-10-15,50,65.19
2004-10-22,50,63.71
2004-10-29,49,64.32
2004-11-05,50,65.12
2004-11-12,50,67.54
2004-11-19,49,66.1
2004-11-26,50,66.67
2004-12-03,50,64.53
2004-12-10,49,67.5
2004-12-17,51,68.24
2004-12-31,50,67.74
2005-01-07,51,66.91
2005-01-14,52,69.1
2005-01-21,52,68.26
2005-01-28,51,68.53
2005-02-04,51,69.89
2005-02-11,51,70.63
2005-02-18,52,71.6
2005-02-25,52,72.74
2005-03-04,53,74.25
2005-03-11,53,73.76
2005-03-18,52,75.81
2005-04-01,53,75.27
2005-04-08,53,75.27
2005-04-15,53,73.58
2005-04-22,53,74.25
2005-04-29,52,75.4
2005-05-06,54,70.88
2005-05-13,53,69.22
2005-05-20,53,71.4
2005-05-27,54,70.12
2005-06-03,54,71.1
2005-06-10,55,73.05
2005-06-17,54,72.6
2005-06-24,58,73
2005-07-01,62,74.1
2005-07-08,58,74.8
2005-07-15,57,74.73
2005-07-22,56,73.88
2005-07-29,54,73.86
2005-08-05,53,75.73
2005-08-12,54,74.53
2005-08-19,54,75.07
2005-08-26,57,75.86
2005-09-02,54,78.19
2005-09-09,55,80.78
2005-09-16,55,82.56
2005-09-23,56,83.85
2005-09-30,54,86.14
2005-10-07,57,80.5
2005-10-14,58,78.15
2005-10-21,57,75.78
2005-10-28,55,75.34
2005-11-04,54,75.3
2005-11-11,54,75.1
2005-11-18,58,77.48
2005-11-25,57,78.24
2005-12-02,55,75.98
2005-12-09,56,79.06
2005-12-16,56,80.87
2005-12-23,55,78.78
2005-12-30,61,77.2
2006-01-06,58,78.26
2006-01-13,57,78.11
2006-01-20,57,78.64
2006-01-27,60,75.26
2006-02-03,58,75.05
2006-02-10,57,74.44
2006-02-17,58,74.75
2006-02-24,59,74.35
2006-03-03,57,73.85
2006-03-10,60,71.41
2006-03-17,58,73.25
2006-03-24,60,71.55
2006-03-31,58,69.03
2006-04-07,57,70.96
2006-04-21,58,74.29
2006-04-28,58,74.87
2006-05-05,60,75.9
2006-05-12,61,73.57
2006-05-19,60,73.66
2006-05-26,59,72.86
2006-06-02,59,74.2
2006-06-09,58,72.8
2006-06-16,58,74.02
2006-06-23,59,72.68
2006-06-30,58,74.79
2006-07-07,56,75.37
2006-07-14,56,75.61
2006-07-21,56,77.72
2006-07-28,56,78.6
2006-08-04,57,78.86
