"Date","NRG","Price"
2004-02-06,63,20.05
2004-02-13,76,20.04
2004-02-20,78,19.54
2004-02-27,70,19.3
2004-03-05,73,19.85
2004-03-12,80,19.95
2004-03-19,79,20.65
2004-03-26,88,21.32
2004-04-02,77,22.5
2004-04-16,74,21.35
2004-04-23,79,21
2004-04-30,78,21.7
2004-05-07,83,19.69
2004-05-14,89,20.95
2004-05-21,78,20.42
2004-05-28,82,21.14
2004-06-04,82,21.6
2004-06-18,79,22.99
2004-06-25,80,23.9
2004-07-02,82,24.71
2004-07-09,81,26
2004-07-16,86,26.63
2004-07-23,83,25.98
2004-07-30,85,26.59
2004-08-06,85,27.64
2004-08-13,74,27.45
2004-08-20,81,27.5
2004-08-27,86,27.32
2004-09-03,76,27.2
2004-09-10,85,26.97
2004-09-17,86,26.05
2004-09-24,84,25.69
2004-10-01,78,27.36
2004-10-08,88,27.76
2004-10-15,84,27.45
2004-10-22,86,27.03
2004-10-29,80,27.74
2004-11-05,86,29.25
2004-11-12,87,31.24
2004-11-19,77,31.48
2004-11-26,85,32
2004-12-03,80,31.6
2004-12-10,73,32
2004-12-17,77,33.89
2004-12-31,89,36.05
2005-01-07,88,34.55
2005-01-14,85,34.23
2005-01-21,81,33.2
2005-01-28,78,34.48
2005-02-04,81,35.24
2005-02-11,84,36.75
2005-02-18,82,38.34
2005-02-25,76,38.67
2005-03-04,76,38.6
2005-03-11,74,37.35
2005-03-18,85,37.5
2005-04-01,77,34.72
2005-04-08,77,34.71
2005-04-15,73,32.29
2005-04-22,75,33.6
2005-04-29,78,31.1
2005-05-06,77,31.61
2005-05-13,72,31.8
2005-05-20,68,33.1
2005-05-27,79,35.22
2005-06-03,78,35.95
2005-06-10,80,35.93
2005-06-17,73,36.81
2005-06-24,82,37
2005-07-01,90,38
2005-07-08,82,37.66
2005-07-15,85,36.88
2005-07-22,81,38.15
2005-07-29,88,38.35
2005-08-05,85,40.01
2005-08-12,81,38.93
2005-08-19,85,38.56
2005-08-26,74,38.9
2005-09-02,84,40.87
2005-09-09,78,40.74
2005-09-16,77,40.89
2005-09-23,81,40.49
2005-09-30,84,42.6
2005-10-07,87,45.11
2005-10-14,83,44.72
2005-10-21,75,41.77
2005-10-28,87,42.75
2005-11-04,78,41.3
2005-11-11,84,38.2
2005-11-18,77,43.25
2005-11-25,79,45.25
2005-12-02,78,43.77
2005-12-09,73,44.43
